ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
3557071,HK582645,08/26/2004 01:23:07 PM,039XX W ROOSEVELT RD,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,1132,011,24,29,18,1150472,1894425,2004,04/15/2016 08:55:02 AM,41.866202441,-87.723080029,"(41.866202441, -87.723080029)"
3557074,HK639089,09/21/2004 06:00:00 PM,010XX N HARDING AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1112,011,27,23,08B,1149864,1906714,2004,04/15/2016 08:55:02 AM,41.899936641,-87.724992266,"(41.899936641, -87.724992266)"
3557075,HK642211,09/20/2004 12:00:00 PM,002XX S WACKER DR,2830,OTHER OFFENSE,OBSCENE TELEPHONE CALLS,COMMERCIAL / BUSINESS OFFICE,false,false,0112,001,2,32,17,1173971,1899133,2004,04/15/2016 08:55:02 AM,41.878630716,-87.636673298,"(41.878630716, -87.636673298)"
3557076,HK596744,09/01/2004 09:15:00 PM,027XX S DEARBORN ST,2024,NARCOTICS,POSS: HEROIN(WHITE),CHA HALLWAY/STAIRWELL/ELEVATOR,true,false,2113,001,3,35,18,1176315,1886573,2004,04/15/2016 08:55:02 AM,41.844112707,-87.628445336,"(41.844112707, -87.628445336)"
3557077,HK639435,09/21/2004 10:36:04 PM,025XX S SPAULDING AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,1024,010,22,30,08B,1154769,1886942,2004,04/15/2016 08:55:02 AM,41.845583336,-87.70750551,"(41.845583336, -87.70750551)"
3557078,HK637743,09/21/2004 09:30:00 AM,035XX W CARROLL AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,1123,011,28,27,08A,1152726,1902170,2004,04/15/2016 08:55:02 AM,41.887411284,-87.714600379,"(41.887411284, -87.714600379)"
3557079,HK597995,09/02/2004 03:03:57 PM,005XX N PINE AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1523,015,37,25,18,1139443,1902919,2004,04/15/2016 08:55:02 AM,41.889719093,-87.763361879,"(41.889719093, -87.763361879)"
3557080,HK631814,09/19/2004 08:48:00 AM,089XX S BURLEY AVE,2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,ALLEY,true,false,0424,004,10,46,18,1199223,1846330,2004,04/15/2016 08:55:02 AM,41.733137221,-87.545731988,"(41.733137221, -87.545731988)"
3557081,HK641704,09/22/2004 10:15:00 PM,051XX W GUNNISON ST,031A,ROBBERY,ARMED: HANDGUN,ALLEY,false,false,1623,016,45,11,03,1141233,1931764,2004,04/15/2016 08:55:02 AM,41.968839925,-87.75607494,"(41.968839925, -87.75607494)"
3557083,HK631815,09/19/2004 08:51:00 AM,089XX S BURLEY AVE,2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,ALLEY,true,false,0424,004,10,46,18,1199223,1846330,2004,04/15/2016 08:55:02 AM,41.733137221,-87.545731988,"(41.733137221, -87.545731988)"
