ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
3557386,HK643235,09/20/2004 06:00:00 PM,111XX S WESTERN AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,BANK,false,false,2212,022,19,75,11,1162389,1830454,2004,04/15/2016 08:55:02 AM,41.690416519,-87.681112787,"(41.690416519, -87.681112787)"
3557387,HK642519,09/01/2004 12:12:00 PM,079XX S HALSTED ST,0810,THEFT,OVER $500,GROCERY FOOD STORE,false,false,0621,006,17,71,06,1172343,1852285,2004,04/15/2016 08:55:02 AM,41.750111323,-87.644030737,"(41.750111323, -87.644030737)"
3557388,HK643287,09/23/2004 06:00:00 AM,035XX N ALBANY AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1733,017,33,21,26,1155094,1923317,2004,04/15/2016 08:55:02 AM,41.945393233,-87.705335678,"(41.945393233, -87.705335678)"
3557389,HK643193,11/01/2003 12:00:00 PM,054XX W 64TH ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0813,008,13,64,06,1141221,1861605,2003,04/15/2016 08:55:02 AM,41.776314708,-87.757848647,"(41.776314708, -87.757848647)"
3557390,HK643273,09/23/2004 03:25:00 PM,007XX E 76TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,0624,006,6,69,26,1182685,1854788,2004,04/15/2016 08:55:02 AM,41.756746208,-87.606055842,"(41.756746208, -87.606055842)"
3557391,HK643304,09/22/2004 09:00:00 AM,062XX N MAGNOLIA AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,2433,024,48,77,06,1166821,1941530,2004,04/15/2016 08:55:02 AM,41.995126463,-87.661706899,"(41.995126463, -87.661706899)"
3557392,HK643281,09/16/2004 02:30:00 AM,009XX W OAKDALE AVE,0890,THEFT,FROM BUILDING,BAR OR TAVERN,false,false,1932,019,44,6,06,1169495,1919782,2004,04/15/2016 08:55:02 AM,41.935391313,-87.652506365,"(41.935391313, -87.652506365)"
3557393,HK643301,09/14/2004 01:00:00 AM,050XX S MICHIGAN AVE,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,STREET,false,false,0231,002,3,38,03,1178008,1871738,2004,04/15/2016 08:55:02 AM,41.803365964,-87.622682706,"(41.803365964, -87.622682706)"
3557395,HK643139,09/22/2004 09:00:00 PM,031XX N SPRINGFIELD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,true,false,2523,025,31,21,07,1149761,1920623,2004,04/15/2016 08:55:02 AM,41.938106224,-87.725008196,"(41.938106224, -87.725008196)"
3557396,HK642690,09/23/2004 01:35:00 PM,072XX S LANGLEY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0323,003,6,69,08B,1182150,1857095,2004,04/15/2016 08:55:02 AM,41.763089248,-87.607945207,"(41.763089248, -87.607945207)"
3557398,HK643314,09/23/2004 04:00:00 PM,010XX N KEDZIE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1121,011,26,23,26,1154839,1906926,2004,04/15/2016 08:55:02 AM,41.900420129,-87.706713216,"(41.900420129, -87.706713216)"
3557400,HK642223,09/23/2004 08:45:00 AM,062XX S STONY ISLAND AVE,0820,THEFT,$500 AND UNDER,PARK PROPERTY,false,false,0331,003,5,42,06,1187940,1864073,2004,04/15/2016 08:55:02 AM,41.78210152,-87.586502002,"(41.78210152, -87.586502002)"
3557401,HK643332,09/23/2004 09:00:00 AM,004XX E 89TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0632,006,6,44,05,1180753,1846069,2004,04/15/2016 08:55:02 AM,41.732864883,-87.613403546,"(41.732864883, -87.613403546)"
3557402,HK643376,09/22/2004 08:00:00 PM,079XX W FOREST PRESERVE AVE,0820,THEFT,$500 AND UNDER,PARK PROPERTY,false,false,1631,016,36,17,06,1122495,1923012,2004,04/15/2016 08:55:02 AM,41.945149149,-87.82516641,"(41.945149149, -87.82516641)"
3557404,HK643395,09/22/2004 10:00:00 PM,037XX N ALBANY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1733,017,33,16,14,1155054,1924719,2004,04/15/2016 08:55:02 AM,41.949241221,-87.705444953,"(41.949241221, -87.705444953)"
3557405,HK643348,09/17/2004 12:00:00 AM,100XX S EMERALD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2232,022,34,73,07,1173077,1838383,2004,04/15/2016 08:55:02 AM,41.711946165,-87.641750363,"(41.711946165, -87.641750363)"
3557409,HK639391,09/21/2004 09:00:00 PM,066XX S ELLIS AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,0321,003,5,42,03,1184032,1861127,2004,04/15/2016 08:55:02 AM,41.77410968,-87.600921572,"(41.77410968, -87.600921572)"
3557410,HK637072,09/20/2004 08:40:00 PM,059XX S CALIFORNIA AVE,0810,THEFT,OVER $500,RESIDENCE,true,false,0824,008,16,66,06,1158728,1865118,2004,04/15/2016 08:55:02 AM,41.785615462,-87.693572597,"(41.785615462, -87.693572597)"
3557583,HK642659,09/23/2004 01:00:00 PM,047XX N BEACON ST,0610,BURGLARY,FORCIBLE ENTRY,OTHER,true,false,2311,019,46,3,05,1166206,1931610,2004,04/15/2016 08:55:02 AM,41.967918903,-87.664254201,"(41.967918903, -87.664254201)"
3557411,HK643238,09/23/2002 08:00:00 AM,019XX N FRANCISCO AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,1421,014,35,22,06,1156821,1912759,2002,04/15/2016 08:55:02 AM,41.916386414,-87.699274841,"(41.916386414, -87.699274841)"
3557412,HK643417,09/23/2004 05:00:00 PM,064XX N NORTHWEST HWY,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1611,016,41,9,26,1126853,1942346,2004,04/15/2016 08:55:02 AM,41.998131694,-87.808712545,"(41.998131694, -87.808712545)"
3557413,HK643414,09/19/2004 12:30:00 PM,035XX S HOYNE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,true,0913,009,11,59,26,1162934,1881188,2004,04/15/2016 08:55:02 AM,41.829626567,-87.677701888,"(41.829626567, -87.677701888)"
3557414,HK637981,09/21/2004 09:30:00 AM,061XX S RICHMOND ST,0810,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,false,false,0823,008,15,66,06,1157766,1863843,2004,04/15/2016 08:55:02 AM,41.782136268,-87.697134354,"(41.782136268, -87.697134354)"
3557415,HK639088,09/21/2004 06:31:00 PM,044XX S PULASKI RD,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,0821,008,14,57,06,1150424,1874895,2004,04/15/2016 08:55:02 AM,41.812610526,-87.723765071,"(41.812610526, -87.723765071)"
3557416,HK638694,09/21/2004 04:30:00 PM,031XX W 64TH ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,0823,008,15,66,06,1156356,1862019,2004,04/15/2016 08:55:02 AM,41.777159455,-87.702352906,"(41.777159455, -87.702352906)"
3557417,HK638861,09/21/2004 05:30:00 PM,060XX W 63RD ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,0812,008,23,64,06,1137309,1862139,2004,04/15/2016 08:55:02 AM,41.777851045,-87.772177316,"(41.777851045, -87.772177316)"
3557419,HK639249,09/21/2004 08:15:00 PM,069XX S SOUTH SHORE DR,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,true,true,0331,003,5,43,26,1193429,1859408,2004,04/15/2016 08:55:02 AM,41.76916785,-87.566530745,"(41.76916785, -87.566530745)"
3557420,HK643408,09/23/2004 12:15:00 PM,005XX N HALSTED ST,0560,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,false,false,1323,012,27,24,08A,1170947,1903871,2004,04/15/2016 08:55:02 AM,41.891698924,-87.647637715,"(41.891698924, -87.647637715)"
3557421,HK643421,09/23/2004 12:00:00 PM,063XX S ABERDEEN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VACANT LOT/LAND,false,false,0724,007,16,68,07,1170068,1862864,2004,04/15/2016 08:55:02 AM,41.779191153,-87.652060298,"(41.779191153, -87.652060298)"
3557422,HK643442,09/23/2004 05:00:00 AM,084XX S EUCLID AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0412,004,8,45,05,1190657,1849411,2004,04/15/2016 08:55:02 AM,41.741802591,-87.577013551,"(41.741802591, -87.577013551)"
3557423,HK643457,09/23/2004 03:00:00 PM,071XX S ABERDEEN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),false,false,0733,007,17,68,14,1170216,1857501,2004,04/15/2016 08:55:02 AM,41.764471202,-87.651673549,"(41.764471202, -87.651673549)"
3557424,HK643460,09/23/2004 07:20:00 PM,025XX N AVERS AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,2524,025,35,22,26,1150289,1916535,2004,04/15/2016 08:55:02 AM,41.926878107,-87.723174596,"(41.926878107, -87.723174596)"
3557425,HK643463,09/23/2004 01:00:00 PM,018XX W HARRISON ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,1224,012,2,28,06,1164057,1897402,2004,04/15/2016 08:55:02 AM,41.874095762,-87.673124235,"(41.874095762, -87.673124235)"
3557426,HK642985,09/23/2004 03:26:00 PM,019XX E 72ND ST,1755,OFFENSE INVOLVING CHILDREN,CHILD ABANDONMENT,APARTMENT,false,true,0333,003,5,43,26,1190048,1857606,2004,04/15/2016 08:55:02 AM,41.764305062,-87.578981607,"(41.764305062, -87.578981607)"
3557427,HK643474,09/22/2004 05:00:00 PM,018XX S KEDZIE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1022,010,24,29,06,1155317,1890899,2004,04/15/2016 08:55:02 AM,41.856430822,-87.7053882,"(41.856430822, -87.7053882)"
3557428,HK643310,08/25/2004 11:00:00 AM,022XX N MILWAUKEE AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,false,false,1431,014,1,22,06,1157482,1915009,2004,04/15/2016 08:55:02 AM,41.922547152,-87.696784988,"(41.922547152, -87.696784988)"
3557430,HK643494,09/22/2004 08:00:00 PM,088XX S PAULINA ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2221,022,21,71,14,1166554,1846087,2004,04/15/2016 08:55:02 AM,41.733228419,-87.665420499,"(41.733228419, -87.665420499)"
3557431,HK643478,09/23/2004 09:00:00 AM,097XX S PRAIRIE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,0511,005,6,49,14,1179635,1840511,2004,04/15/2016 08:55:02 AM,41.717638623,-87.617668543,"(41.717638623, -87.617668543)"
3557433,HK643510,08/28/2004 12:00:00 PM,023XX S SPRINGFIELD AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1013,010,22,30,06,1150749,1888057,2004,04/15/2016 08:55:02 AM,41.848722475,-87.722229517,"(41.848722475, -87.722229517)"
3557435,HK643488,09/23/2004 12:30:00 PM,023XX S CALIFORNIA AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1033,010,12,30,06,1158058,1888522,2004,04/15/2016 08:55:02 AM,41.849852628,-87.695392076,"(41.849852628, -87.695392076)"
3557438,HK638482,09/21/2004 01:40:00 PM,061XX S KEDZIE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,SIDEWALK,false,false,0823,008,15,66,11,1156102,1863920,2004,04/15/2016 08:55:02 AM,41.78238119,-87.703233008,"(41.78238119, -87.703233008)"
3557439,HK643111,09/23/2004 06:20:00 AM,085XX S GREEN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,true,false,0613,006,21,71,07,1172133,1848236,2004,04/15/2016 08:55:02 AM,41.739004946,-87.64491897,"(41.739004946, -87.64491897)"
3557440,HK643433,09/23/2004 07:04:00 PM,016XX N ARTESIAN AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,SIDEWALK,true,false,1434,014,1,24,16,1159782,1910778,2004,04/15/2016 08:55:02 AM,41.910889814,-87.688450951,"(41.910889814, -87.688450951)"
3557441,HK637161,09/20/2004 06:00:00 PM,081XX S CICERO AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,PARKING LOT/GARAGE(NON.RESID.),false,false,0834,008,13,70,11,1145836,1850235,2004,04/15/2016 08:55:02 AM,41.745027431,-87.741216969,"(41.745027431, -87.741216969)"
3557443,HK638750,09/21/2004 03:00:00 PM,062XX S AUSTIN AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0812,008,23,64,26,1137483,1862510,2004,04/15/2016 08:55:02 AM,41.778866019,-87.771530528,"(41.778866019, -87.771530528)"
3557444,HK643286,09/23/2004 07:30:00 AM,004XX W 104TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,2232,022,34,49,26,1175023,1835941,2004,04/15/2016 08:55:02 AM,41.705201854,-87.634696163,"(41.705201854, -87.634696163)"
3557445,HK638180,09/21/2004 12:20:00 PM,038XX S PULASKI RD,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,0815,008,14,30,24,1150307,1879159,2004,04/15/2016 08:55:02 AM,41.824313815,-87.724083336,"(41.824313815, -87.724083336)"
3557446,HK639619,09/22/2004 01:15:00 AM,049XX S KNOX AVE,1330,CRIMINAL TRESPASS,TO LAND,OTHER,true,false,0815,008,23,56,26,1146190,1871568,2004,04/15/2016 08:55:02 AM,41.803562095,-87.739379977,"(41.803562095, -87.739379977)"
3557448,HK643553,09/20/2004 10:00:00 AM,037XX W GIDDINGS ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1723,017,39,14,07,1150449,1931301,2004,04/15/2016 08:55:02 AM,41.967394028,-87.72219979,"(41.967394028, -87.72219979)"
3557450,HK643555,09/13/2004 03:00:00 PM,097XX S MERRILL AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,0431,004,7,51,26,1192379,1840815,2004,04/15/2016 08:55:02 AM,41.718172653,-87.570983257,"(41.718172653, -87.570983257)"
3557451,HK639706,09/22/2004 04:05:00 AM,044XX S LAMON AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,true,false,0814,008,23,56,26,1144409,1874497,2004,04/15/2016 08:55:02 AM,41.811633315,-87.745838453,"(41.811633315, -87.745838453)"
3557454,HK643352,09/23/2004 06:00:00 PM,041XX W CARROLL AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1114,011,28,26,06,1148660,1901912,2004,04/15/2016 08:55:02 AM,41.886782783,-87.729538737,"(41.886782783, -87.729538737)"
3557455,HK643543,09/23/2004 06:00:00 PM,074XX S SOUTH SHORE DR,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,0334,003,7,43,08A,1195788,1856597,2004,04/15/2016 08:55:02 AM,41.761396234,-87.557976827,"(41.761396234, -87.557976827)"
3557456,HK639710,09/22/2004 04:45:00 AM,066XX S FAIRFIELD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0831,008,15,66,14,1159189,1860454,2004,04/15/2016 08:55:02 AM,41.772807358,-87.692009879,"(41.772807358, -87.692009879)"
3557457,HK643588,09/23/2004 12:00:00 AM,014XX W HURON ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1324,012,27,24,06,1166280,1904780,2004,04/15/2016 08:55:02 AM,41.89429435,-87.664751391,"(41.89429435, -87.664751391)"
3557458,HK639676,09/22/2004 02:45:00 AM,058XX S ROCKWELL ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0824,008,16,63,14,1160037,1865889,2004,04/15/2016 08:55:02 AM,41.787704363,-87.688751969,"(41.787704363, -87.688751969)"
3557459,HK643481,09/23/2004 07:20:00 PM,065XX S DR MARTIN LUTHER KING JR DR,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,false,false,0312,003,20,69,14,1180043,1861823,2004,04/15/2016 08:55:02 AM,41.776111866,-87.615523051,"(41.776111866, -87.615523051)"
3557460,HK638504,09/21/2004 03:21:08 PM,058XX S HOMAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0822,008,14,63,14,1154711,1865740,2004,04/15/2016 08:55:02 AM,41.787403397,-87.708284349,"(41.787403397, -87.708284349)"
3557461,HK643583,09/22/2004 12:00:00 AM,004XX E 41ST ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0213,002,3,38,06,1179773,1877905,2004,04/15/2016 08:55:02 AM,41.820248497,-87.616020877,"(41.820248497, -87.616020877)"
3557462,HK639369,09/21/2004 09:06:23 PM,068XX S CLAREMONT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0832,008,17,66,14,1161913,1859271,2004,04/15/2016 08:55:02 AM,41.769504865,-87.682057196,"(41.769504865, -87.682057196)"
3557463,HK643405,09/23/2004 02:00:00 PM,030XX N KEDZIE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,true,false,1411,014,35,21,07,1154516,1920040,2004,04/15/2016 08:55:02 AM,41.936412508,-87.70754813,"(41.936412508, -87.70754813)"
3557464,HK639427,09/21/2004 09:55:00 PM,059XX S CAMPBELL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0824,008,16,66,14,1160723,1865156,2004,04/15/2016 08:55:02 AM,41.785678771,-87.686256904,"(41.785678771, -87.686256904)"
3557465,HK639387,09/21/2004 10:55:00 PM,059XX S CAMPBELL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0824,008,16,66,14,1160723,1865149,2004,04/15/2016 08:55:02 AM,41.785659563,-87.686257097,"(41.785659563, -87.686257097)"
3557466,HK639337,09/21/2004 09:45:00 PM,032XX W 59TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,true,false,0822,008,14,63,14,1155640,1865316,2004,04/15/2016 08:55:02 AM,41.786221296,-87.704889438,"(41.786221296, -87.704889438)"
3557467,HK643610,09/06/2004 04:00:00 PM,011XX W BELDEN AVE,0820,THEFT,$500 AND UNDER,COLLEGE/UNIVERSITY GROUNDS,false,false,1811,018,32,7,06,1168174,1915435,2004,04/15/2016 08:55:02 AM,41.923491608,-87.657487006,"(41.923491608, -87.657487006)"
3557468,HK643615,09/23/2004 08:00:00 PM,068XX S CRANDON AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,0331,003,5,43,26,1192505,1859972,2004,04/15/2016 08:55:02 AM,41.770738064,-87.569899278,"(41.770738064, -87.569899278)"
3557469,HK634644,09/19/2004 06:30:00 PM,018XX N KEYSTONE AVE,0460,BATTERY,SIMPLE,STREET,false,false,2534,025,30,20,08B,1149090,1912014,2004,04/15/2016 08:55:02 AM,41.914495392,-87.727697758,"(41.914495392, -87.727697758)"
3557470,HK643606,09/23/2004 04:30:00 PM,017XX S MORGAN ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1233,012,25,31,06,1170152,1891834,2004,04/15/2016 08:55:02 AM,41.858685913,-87.650908843,"(41.858685913, -87.650908843)"
3557471,HK633348,09/19/2004 04:24:23 AM,051XX W MONTANA ST,0460,BATTERY,SIMPLE,APARTMENT,true,false,2521,025,31,19,08B,1141780,1915821,2004,04/15/2016 08:55:02 AM,41.925080714,-87.754459528,"(41.925080714, -87.754459528)"
3557472,HK633561,09/19/2004 08:42:00 AM,028XX N LAWNDALE AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,STREET,false,false,2523,025,35,21,17,1151237,1918472,2004,04/15/2016 08:55:02 AM,41.932174835,-87.719640141,"(41.932174835, -87.719640141)"
3557473,HK643636,09/12/2004 05:25:00 PM,0000X S WHIPPLE ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,1124,011,28,27,26,1156167,1899628,2004,04/15/2016 08:55:02 AM,41.88036701,-87.702032612,"(41.88036701, -87.702032612)"
3557474,HK634108,09/19/2004 03:30:00 PM,044XX W PARKER AVE,1570,SEX OFFENSE,PUBLIC INDECENCY,ALLEY,true,false,2524,025,31,20,17,1146233,1917876,2004,04/15/2016 08:55:02 AM,41.930636171,-87.738044553,"(41.930636171, -87.738044553)"
3557475,HK634779,09/19/2004 09:54:30 PM,014XX N LOTUS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,2532,025,37,25,14,1139752,1908980,2004,04/15/2016 08:55:02 AM,41.90634557,-87.762078871,"(41.90634557, -87.762078871)"
3557477,HK643651,09/23/2004 12:00:00 PM,078XX S CORNELL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,0414,004,8,43,26,1188599,1853289,2004,04/15/2016 08:55:02 AM,41.752493577,-87.584430217,"(41.752493577, -87.584430217)"
3557478,HK633839,09/19/2004 12:45:00 PM,053XX W DEMING PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,2515,025,31,19,08B,1140268,1916446,2004,04/15/2016 08:55:02 AM,41.926823655,-87.760000033,"(41.926823655, -87.760000033)"
3557479,HK643617,09/22/2004 07:00:00 PM,036XX N PITTSBURGH AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,1631,016,36,17,08A,1120420,1923235,2004,04/15/2016 08:55:02 AM,41.945794594,-87.832788715,"(41.945794594, -87.832788715)"
3557480,HK643657,09/20/2004 12:00:00 PM,004XX E 32ND ST,0820,THEFT,$500 AND UNDER,STREET,false,false,2122,002,4,35,06,1179519,1883862,2004,04/15/2016 08:55:02 AM,41.836600771,-87.61677038,"(41.836600771, -87.61677038)"
3557481,HK633911,09/19/2004 01:20:00 PM,016XX N MAYFIELD AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,false,2531,025,29,25,26,1136841,1910335,2004,04/15/2016 08:55:02 AM,41.910116553,-87.772739734,"(41.910116553, -87.772739734)"
3557482,HK643664,09/23/2004 06:25:00 PM,003XX E ONTARIO ST,0890,THEFT,FROM BUILDING,ATHLETIC CLUB,false,false,1834,018,42,8,06,1178677,1904564,2004,04/15/2016 08:55:02 AM,41.893427527,-87.619228088,"(41.893427527, -87.619228088)"
3557484,HK642669,09/14/2004 10:00:00 AM,032XX N CICERO AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,CURRENCY EXCHANGE,false,false,1634,016,30,15,11,1143809,1920927,2004,04/15/2016 08:55:02 AM,41.939054243,-87.746875622,"(41.939054243, -87.746875622)"
3557485,HK642711,09/23/2004 07:00:00 AM,013XX N SPRINGFIELD AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2535,025,30,23,06,1150131,1908816,2004,04/15/2016 08:55:02 AM,41.905699538,-87.723956718,"(41.905699538, -87.723956718)"
3557487,HK643684,07/29/2004 12:00:00 AM,074XX S MERRILL AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,false,false,0333,003,5,43,02,1191843,1855973,2004,04/15/2016 08:55:02 AM,41.759780594,-87.572455541,"(41.759780594, -87.572455541)"
3557489,HK643370,09/23/2004 12:00:00 PM,040XX W CORTLAND ST,0820,THEFT,$500 AND UNDER,STREET,false,false,2534,025,30,20,06,1148964,1912314,2004,04/15/2016 08:55:02 AM,41.915321062,-87.72815289,"(41.915321062, -87.72815289)"
3557490,HK643558,09/23/2004 07:00:00 PM,040XX W BELMONT AVE,0810,THEFT,OVER $500,STREET,false,false,1731,017,31,16,06,1148999,1920975,2004,04/15/2016 08:55:02 AM,41.939086945,-87.727799589,"(41.939086945, -87.727799589)"
3557491,HK643612,09/23/2004 07:00:00 PM,048XX W ALTGELD ST,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER,false,true,2521,025,31,19,26,1143810,1916202,2004,04/15/2016 08:55:02 AM,41.926088368,-87.74699071,"(41.926088368, -87.74699071)"
3557492,HK643681,09/23/2004 09:11:00 PM,006XX W 80TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0621,006,21,71,26,1173264,1851840,2004,04/15/2016 08:55:02 AM,41.748869889,-87.640668922,"(41.748869889, -87.640668922)"
3557495,HK641938,09/23/2004 12:30:00 AM,020XX N LAWLER AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2522,025,31,19,07,1142420,1913083,2004,04/15/2016 08:55:02 AM,41.917555475,-87.752176025,"(41.917555475, -87.752176025)"
3557499,HK643715,09/23/2004 08:00:00 PM,018XX W WASHINGTON BLVD,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,false,1333,012,27,28,26,1164057,1900721,2004,04/15/2016 08:55:02 AM,41.883203377,-87.673030483,"(41.883203377, -87.673030483)"
3557501,HK641907,09/22/2004 10:30:00 PM,065XX S DORCHESTER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0321,003,20,42,14,1186512,1862006,2004,04/15/2016 08:55:02 AM,41.776463414,-87.591802702,"(41.776463414, -87.591802702)"
3557502,HK643665,09/23/2004 06:30:00 PM,053XX W BARRY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,2514,025,31,19,14,1140146,1920091,2004,04/15/2016 08:55:02 AM,41.93682815,-87.760358825,"(41.93682815, -87.760358825)"
3557504,HK643720,09/23/2004 02:00:00 AM,088XX S PAULINA ST,0810,THEFT,OVER $500,STREET,false,false,2221,022,21,71,06,1166553,1846101,2004,04/15/2016 08:55:02 AM,41.733266859,-87.665423764,"(41.733266859, -87.665423764)"
3557505,HK643703,09/23/2004 07:30:00 PM,034XX N PANAMA AVE,0460,BATTERY,SIMPLE,ALLEY,false,false,1631,016,36,17,08B,1121479,1921705,2004,04/15/2016 08:55:02 AM,41.941579041,-87.828929196,"(41.941579041, -87.828929196)"
3557515,HK643762,09/23/2004 04:00:00 PM,034XX W LAWRENCE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,STREET,false,false,1723,017,33,14,11,1152638,1931681,2004,04/15/2016 08:55:02 AM,41.968393644,-87.714140929,"(41.968393644, -87.714140929)"
3557516,HK643680,09/23/2004 07:04:00 PM,030XX W LYNDALE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,true,false,1414,014,35,22,18,1155643,1914931,2004,04/15/2016 08:55:02 AM,41.922370374,-87.70354418,"(41.922370374, -87.70354418)"
3557517,HK643689,09/23/2004 11:32:00 AM,077XX S CORNELL AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,0414,004,8,43,26,1188577,1854081,2004,04/15/2016 08:55:02 AM,41.754667423,-87.584485574,"(41.754667423, -87.584485574)"
3557518,HK643776,09/23/2004 07:30:00 AM,026XX N MASON AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,2514,025,30,19,05,1136279,1916921,2004,04/15/2016 08:55:02 AM,41.928199364,-87.774646713,"(41.928199364, -87.774646713)"
